"","ticker","day","month","year","open","high","low","close","volume","Company.Name","Sector","Industry.Group","Industry","Sub.Industry","Alternate.Name"
"1","AAA",2,1,1997,2.43,2.45,2.42,2.43,62508,NA,NA,NA,NA,NA,NA
"2","AAD",2,1,1997,0.74,0.76,0.74,0.75,10722,"ARDENT LEISURE GROUP","Consumer Discretionary","Consumer Services","Consumer Services","Consumer Services","Ardent Leisure Group Ordinary/Units FP Stapled Securities"
"3","AAR",2,1,1997,0.095,0.095,0.095,0.095,50000,"ANGLO AUSTRALIAN RESOURCES NL","Materials","Materials","Materials","Materials",NA
"4","ABA",2,1,1997,6.89,6.94,6.89,6.93,153508,"AUSWIDE BANK LTD","Financials","Banks","Banks","Banks",NA
"5","ABC",2,1,1997,1.7,1.71,1.7,1.7,70000,"ADELAIDE BRIGHTON LIMITED","Materials","Materials","Materials","Materials","Adelaide Brighton"
"6","ABD",2,1,1997,0.085,0.085,0.085,0.085,2000,NA,NA,NA,NA,NA,NA
"7","ABF",2,1,1997,3.18,3.25,3.18,3.25,25050,NA,NA,NA,NA,NA,NA
"8","ABG",2,1,1997,4.244,4.25,4.23,4.25,7500,NA,NA,NA,NA,NA,NA
"9","ABR",2,1,1997,0.17,0.17,0.17,0.17,12500,"AMERICAN PACIFIC BORATE & LITHIUM LIMITED","Materials","Materials","Materials","Materials",NA
"10","ABT",2,1,1997,0.075,0.075,0.075,0.075,25000,"ABUNDANT PRODUCE LIMITED","Consumer Staples","Food, Beverage & Tobacco","Food, Beverage & Tobacco","Food, Beverage & Tobacco",NA
